# 来源：kajweb/dict GaoZhongluan_2（有道高考必备词汇，非官方新课标3500表）
# 格式：word|词性|中文释义。词性含 n/v/a/d 时分别控制生成复数/动词变形/比较级。
# 词条数：3665（跳过 3 条：词组、重复或非法字符）
outward|a d n|adj 向外的；外面的；公开的；外服的；肉体的；adv 向外（等于outwards）；在外；显而易见地
oval|a n|adj 椭圆的；卵形的；n 椭圆形；卵形
over|a d n v|adv 结束；越过；从头到尾；prep 越过；在…之上；遍于…之上
overcoat|n|n 大衣，外套
overcome|v|v 克服；胜过
overlook|n v|v 忽略；俯瞰；远眺；检查；高耸于…之上；n 忽视；眺望
overweight|a n v|adj 超重的；过重的；vt 使负担过重
owe|n v|v 欠；感激；应给予；应该把……归功于；n (Owe)人名；(瑞典、挪)奥弗
own|a n v|v 拥有；承认；adj 自己的；特有的
owner|n|n [经] 所有者；物主
ownership|n|n 所有权；物主身份
ox|n|n 牛；公牛
oxygen|n|n [化学] 氧气，[化学] 氧
pace|n v|n 一步；步速；步伐；速度；v 踱步；缓慢而行
pacific|a n|adj 太平洋的；n 太平洋
pack|n v|n 包装；一群；背包；包裹；一副；v 包装；压紧；捆扎；挑选；塞满
package|a n v|n 包，包裹；套装软件，[计] 程序包；adj 一揽子的
packet|n v|n 数据包，信息包；小包，小捆；vt 包装，打包
paddle|n v|n 划桨；明轮翼；v 拌；搅；用桨划
page|n v|n 页；记录；大事件，时期；男侍者；v 给…标页码
pain|n v|n 疼痛；努力；v 使…痛苦；使…烦恼
painful|a|adj 痛苦的；疼痛的；令人不快的
paint|n v|v 油漆；绘画；装饰；涂色于；描绘；（用语言，文字等）描写；擦脂粉等；n 油漆；颜料，涂料；绘画作品；胭脂等化妆品；色彩，装饰
painter|n|n 画家；油漆匠
painting|n v|n 绘画；油画；着色；v 绘画（paint的ing形式）；涂色于
pair|n v|n 一对，一双，一副；v 把…组成一对
palace|n|n 宫殿；宅邸；豪华住宅
pan|n v|n 平底锅；盘状的器皿；淘盘子，金盘，秤盘；v 淘金；在浅锅中烹调（食物）；[非正式用语]严厉的批评
pancake|n v|n 薄烤饼；粉饼；平降（全称pancake landing）；vi 平坠着陆；平展
panda|n|n 熊猫；猫熊
panic|a n v|n 恐慌，惊慌；大恐慌；adj 恐慌的；没有理由的
paper|a n v|n 纸；论文；文件；报纸；adj 纸做的
paperwork|n|n 文书工作
paragraph|n v|n 段落；短评；段落符号；v 将…分段
parallel|a n v|n 平行线；对比；v 使…与…平行
parcel|n v|n 包裹，小包；v 打包；捆扎
pardon|n v|n 原谅；赦免；宽恕；v 原谅；赦免；宽恕
parent|n|n 父亲（或母亲）；父母亲；根源
paris|n|n 巴黎（法国首都）；帕里斯（特洛伊王子）
park|n v|n 公园；[交] 停车场；v 停放；放置；寄存
parking|a n v|n 停车；adj 停车的
parrot|n v|n 鹦鹉；学舌者，应声虫；机械模仿别人的人；v 机械地模仿
part|a d n v|n 部分；角色；零件；一些；片段；v 分离；分配；分开
participate|v|v 参与，参加；分享
particular|a n|adj 特别的；详细的；独有的；挑剔的；n 详细说明；个别项目
partly|d|adv 部分地；在一定程度上
partner|n v|n 伙伴；合伙人；配偶；v 合伙；合股；成为搭档
pass|n v|n 及格；经过；护照；途径；传球；v 经过；传递；变化；终止
passage|n|n 一段（文章）；走廊；通路
passenger|n|n 旅客；乘客；过路人；碍手碍脚的人
passive|a n|adj 被动的，消极的；被动语态的；n 被动语态
passport|n|n 护照，通行证；手段
past|a d n|n 过去；往事；adj 过去的；结束的
patent|a n v|v 授予专利；取得…的专利权；adj 专利的；新奇的；显然的
path|n|n 道路；小路；轨道
patience|n|n 耐性，耐心；忍耐，容忍
patient|a n|adj 有耐心的，能容忍的；n 病人；患者
pattern|n v|n 模式；图案；样品；v 模仿；以图案装饰
pause|n v|n 暂停；间歇；v 暂停，停顿，中止；踌躇
pay|a n v|v 支付，付；偿还，补偿；给予；n 工资，薪水；付款；报答
pea|n|n 豌豆
peace|n|n 和平；平静；和睦；秩序
peaceful|a|adj 和平的，爱好和平的；平静的
peach|a n v|n 桃子；桃树；桃红色；受人喜欢的人（或物）；adj 桃色的；用桃子制成的
pear|n|n [园艺] 梨树；梨子
peasant|n|n 农民；乡下人
pedestrian|a n|adj 徒步的；缺乏想像力的；n 行人；步行者
pen|n v|n 钢笔；作家；围栏；v 写；关入栏中
pencil|n v|n 铅笔；笔状物；v 用铅笔写；用眉笔涂
penny|n|n （美）分；便士
pension|n v|n 退休金，抚恤金；津贴；膳宿费；v 发给养老金或抚恤金
people|n v|n 人；人类；民族；公民；v 居住于；使住满人
pepper|n v|n 胡椒；辣椒；胡椒粉；v 加胡椒粉于；使布满
per|n|prep 每；经；按照；每一；n (Per)人名；(德、挪、丹、瑞典)佩尔
percent|a d n|n 百分比，百分率；部分；百分数；adj 百分之…的
percentage|n|n 百分比；百分率，百分数
perfect|a n v|adj 完美的；最好的；精通的；v 使完美；使熟练
perform|v|v 执行；完成；演奏
performance|n|n 性能；绩效；表演；执行；表现
performer|n|n 演出者；执行者；演奏者
perfume|n v|n 香水；香味；v 洒香水于…；使…带香味
perhaps|d n|adv 或许；（表示不确定）也许；（用于粗略的估计）或许；（表示勉强同意或其实不赞成）也许；可能；n 假定；猜想；未定之事
period|a n|n 周期，期间；时期；月经；课时；（语法学）句点，句号；adj 某一时代的
permanent|a n|adj 永久的，永恒的；不变的；n 烫发（等于permanent wave）
permission|n|n 允许，许可
permit|n v|v 许可；允许；n 许可证，执照
person|n|n 人；身体；容貌，外表；人称
personal|a n|adj 个人的；身体的；亲自的；n 人事消息栏；人称代名词
personally|d|adv 亲自地；当面；个别地；就自己而言
personnel|a n|n 人事部门；全体人员；adj 人员的；有关人事的
persuade|a v|v 说服，劝说；使某人相信；劝某人做（不做）某事；adj 空闲的，有闲的
pest|n|n 害虫；有害之物；讨厌的人
pet|a n v|n 宠物；生气；受宠爱的人；v 宠爱
petrol|n|n （英）汽油
phenomenon|n|n 现象；奇迹；杰出的人才
phone|n v|n 电话；耳机，听筒；v 打电话
photo|n|n 照片
photograph|n v|v 为…拍照；使深深印入；n 照片，相片
photographer|n|n 摄影师；照相师
phrase|n v|n 短语, 习语, 措辞, 乐句；v 措词, 将(乐曲)分成乐句
physical|a n|adj [物] 物理的；身体的；物质的；根据自然规律的，符合自然法则的；n 体格检查
physician|n|n [医] 医师；内科医师
physicist|n|n 物理学家；唯物论者
physics|n|n 物理学；物理现象
pianist|n|n 钢琴家；钢琴演奏者
piano|n|n 钢琴
pick|n v|v 挑选；采摘；挖；n 选择；鹤嘴锄；挖；掩护
picnic|n v|n 野餐；v 去野餐
picture|n v|n 照片，图画；影片；景色；化身；v 画；想像；描写
pie|n v|n 馅饼；饼图；爱说话的人；vt 使杂乱
piece|n v|n 块；件；篇；硬币；v 修补；接合；凑合
pig|n v|n 猪；猪肉；v 生小猪；像猪一样过活
pile|n v|n 堆；大量；建筑群；v 累积；打桩于
pill|n v|n 药丸；弹丸，子弹；口服避孕药；v 把…制成丸剂；使服用药丸；抢劫，掠夺（古语）
pillow|n v|n 枕头；v 垫；枕于…；使…靠在
pilot|a n v|n 飞行员；领航员；adj 试点的
pin|n v|n 大头针，别针，针；栓；琐碎物；v 钉住；压住；将……用针别住
pine|a n v|v 渴望，痛苦；憔悴；n [林] 松树；凤梨，菠萝
pineapple|a n|n [园艺] 菠萝；[园艺] 凤梨；adj 凤梨科的
pink|a n v|n 粉红色；化身，典范；石竹花；头面人物；v 扎，刺，戳；使…变粉红色；使…面红耳赤
pint|n|n 品脱；一品脱的量；一品脱牛奶或啤酒
pioneer|n v|n 先锋；拓荒者；v 开辟；倡导；提倡
pipe|n v|n 管；烟斗；笛；v 吹笛；尖叫
pity|n v|n 怜悯，同情；遗憾；v 对……表示怜悯；对……感到同情
place|n v|n 地方；住所；座位；v 放置；任命；寄予
plain|a d n|adj 平的；简单的；朴素的；清晰的；n 平原；无格式；朴实无华的东西
plan|n v|n 计划；平面图；v 计划；设计；打算
plane|a n v|n 飞机；平面；程度，水平；v 刨；乘飞机旅行；翱翔
planet|n|n 行星
plant|n v|n 工厂，车间；植物；设备；庄稼；v 种植；培养；栽培；安置
plastic|a n|adj 塑料的；（外科）造型的；可塑的；n 塑料制品；整形；可塑体
plate|n v|n 碟；金属板；金属牌；感光底片；v 电镀；给…装甲
platform|n|n 平台；月台，站台；坛；讲台
play|n v|v 游戏；扮演；演奏；播放；同…比赛；n 游戏；比赛；剧本
player|n|n 运动员，比赛者；游戏者，做游戏的人；演奏者，表演者；演员；播放器
playground|n|n 运动场，操场；游乐场
playmate|n|n 玩伴；游伴
playroom|n|n 游戏室；娱乐室
pleasant|a n|adj 令人愉快的，舒适的；讨人喜欢的，和蔼可亲的；n (Pleasant)人名；(英)普莱曾特
please|v|v 使喜欢；使高兴，使满意；int 请（礼貌用语）
pleased|a v|adj 高兴的；喜欢的；乐意做某事；v 满意；愿意（please的过去分词形式）
pleasure|n v|n 快乐；希望；娱乐；令人高兴的事；vt 使高兴；使满意
plenty|a d n|n 丰富，大量；充足；adj 足够的，很多的
plot|n v|n 情节；图；阴谋；v 密谋；绘图；划分；标绘
plug|n v|n 插头；塞子；栓；v 塞住；用插头将与电源接通
plus|a n|n 正号，加号；好处；附加额；adj 正的；附加的
pm||abbr （拉）下午（Post Meridiem，等于afternoon）；调相（Phase Modulation）
pocket|a n v|n 口袋；钱；容器；v 隐藏；忍受；将…放入衣袋
poem|n|n 诗
poet|n|n 诗人
point|n v|n 要点；得分；标点；[机] 尖端；v 指向；弄尖；加标点于
poison|a n v|v 污染；使中毒，放毒于；败坏；阻碍；n 毒药，毒物；酒；有毒害的事物；[助剂] 抑制剂
poisonous|a|adj 有毒的；恶毒的；讨厌的
pole|n v|n 杆；极点；电极；v 用竿支撑
police|a n v|n 警察，警方；治安；v 监督；管辖；维持治安；为…配备警察
policeman|n|n 警察，警员；[分化] 淀帚（橡皮头玻璃搅棒）
policy|n|n 政策，方针；保险单
polish|a n v|n 磨光，擦亮；擦亮剂；优雅，精良；v 擦亮，变光滑
polite|a|adj 有礼貌的，客气的；文雅的；上流的；优雅的
political|a|adj 政治的；党派的
politician|n|n 政治家，政客
politics|n|n 政治，政治学；政治活动；政纲
pollute|v|v 污染；玷污；败坏
pollution|n|n 污染
pond|n v|vt 筑成池塘；vi 筑成池塘
pool|n v|n 联营；撞球；水塘；共同资金；v 联营，合伙经营
poor|a n|adj 贫穷的；可怜的；贫乏的；卑鄙的；n (Poor)人名；(英、伊朗)普尔
pop||abbr 卖点广告（Point of Purchase）
popcorn|n|n 爆米花，爆玉米花
popular|a|adj 流行的，通俗的；受欢迎的；大众的；普及的
population|n|n 人口；[生物] 种群，[生物] 群体；全体居民
pork|n v|n 猪肉；vt 与女子性交
porridge|n v|n 粥，糊；麦片粥；vt 服刑
port|n v|n 港口，口岸；（计算机的）端口；左舷；舱门；v 转向左舷
portable|a n|adj 手提的，便携式的；轻便的；n 手提式打字机
porter|n|n 门房；服务员；行李搬运工；守门人
position|n v|n 位置，方位；职位，工作；姿态；站位；v 安置；把……放在适当位置
possess|v|v 控制；使掌握；持有；迷住；拥有，具备
possession|n|n 拥有；财产；领地；自制；着迷
possibility|n|n 可能性；可能发生的事物
possible|a n|adj 可能的；合理的；合适的；n 可能性；合适的人；可能的事物
possibly|d|adv 可能地；也许；大概
post|n v|n 岗位；邮件；标杆；v 张贴；公布；邮递；布置
postage|n|n 邮资，邮费
postbox|n|n 邮箱
postcard|n|n 明信片
postcode|n|n （英）邮政编码；邮区号
poster|n|n 海报，广告；招贴
postman|n|n 邮递员；邮差
postpone|v|v 使…延期；把…放在次要地位；把…放在后面
pot|n v|n 壶；盆；罐；v 把…装罐；射击；节略
potato|n|n [作物] 土豆，[作物] 马铃薯
potential|a n|n 潜能；可能性；[电] 电势；adj 潜在的；可能的；势的
pound|n v|n 英镑；重击，重击声；兽栏；拘留所；v 捣烂；敲打；监禁，拘留
pour|n v|n 倾泻；流出；骤雨；v 灌，注；倒；倾泻；倾吐
powder|n v|n 粉；粉末；[化工][军] 火药；尘土；v 使成粉末；撒粉；搽粉于
power|a n v|n 力量，能力；电力，功率；政权，势力；[数] 幂；v 激励；供以动力；使…有力量
powerful|a d|adj 强大的；强有力的；adv 很；非常
practical|a|adj 实际的；实用性的
practice|n v|n 实践；练习；惯例；v 练习；实习；实行
prairie|n|n 大草原；牧场
praise|n v|n 赞扬；称赞；荣耀；崇拜；v 赞美，歌颂；表扬
pray|n v|v 祈祷；恳求；央求；n (Pray)人名；(匈)普劳伊；(英)普雷
prayer|n|n 祈祷，祷告；恳求；祈祷文
precious|a n|adj 宝贵的；珍贵的；矫揉造作的；n (Precious)人名；(英)普雷舍斯，普雷舍丝(女名)
precise|a|adj 精确的；明确的；严格的
predict|v|v 预报，预言；预知
prefer|v|v 更喜欢；宁愿；提出；提升
preference|n|n 偏爱，倾向；优先权
pregnant|a|adj 怀孕的；富有意义的
prejudice|n v|n 偏见；侵害；v 损害；使有偏见
premier|a n|adj 第一的；最初的；n 总理，首相
preparation|n|n 预备；准备
prepare|v|v 准备；使适合；装备；起草
prescription|a n|n 药方；指示；惯例；adj 凭处方方可购买的
present|a n v|v 提出；介绍；呈现；赠送；adj 现在的；出席的
presentation|n|n 展示；描述，陈述；介绍；赠送
preserve|n v|v 保存；保护；维持；腌；禁猎；n 保护区；禁猎地；加工成的食品
president|n|n 总统；董事长；校长；主席
press|n v|v 压；按；逼迫；紧抱；n 压；按；新闻；出版社；[印刷] 印刷机
pressure|n v|n 压力；压迫，[物] 压强；v 迫使；密封；使……增压
pretend|a v|v 假装，伪装，佯装；adj 假装的
pretty|a d n|adj 漂亮的；可爱的；优美的；adv 相当地；颇
prevent|v|v 预防，防止；阻止
preview|n v|n 预览；试映；事先查看；v 预览；预演；事先查看
price|n v|n 价格；价值；代价；v 给……定价；问……的价格
pride|n v|n 自豪；骄傲；自尊心；v 使得意，以…自豪
primary|a n|adj 主要的；初级的；基本的；n 原色；最主要者
primitive|a n|adj 原始的，远古的；简单的，粗糙的；n 原始人
principle|n|n 原理，原则；主义，道义；本质，本义；根源，源泉
print|n v|n 印刷业；印花布；印刷字体；印章；印记；v 印刷；打印；刊载；用印刷体写；在…印花样
